"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test Get-feature","","0","0","6","0","0"
"","Update user partial data-feature","","0","0","1","0","0"
"","Update User Data With PATCH-feature","","0","0","1","0","0"
"","Reqres API-feature","Delayed Response","0","0","1","0","0"
"","User Delete-feature","","0","0","1","0","0"
"","User Registration-feature","","0","0","1","0","0"
"","User Login-feature","","0","0","2","0","0"
"","Create user-feature","","0","0","1","0","0"
"","Update User Data With PUT-feature","","0","0","1","0","0"
"","Update user all data-feature","","0","0","1","0","0"
